Contam Code,Contaminant,Method Code,Analysis Method
100,TURBIDITY,1,NEPHELOMETRIC (TURBIDITY)
1000,FIELD-CHLORINE RESIDUAL TOTAL,301,HACH METHOD 10250
1000,FIELD-CHLORINE RESIDUAL TOTAL,301,HACH METHOD 10260
1000,FIELD-CHLORINE RESIDUAL TOTAL,301,HACH METHOD 8167
1000,TOTAL CHLORINE,587,"TITRTN, AMPRMTRC (CL/NH2CL)"
1005,ARSENIC (IOC),170,"ICP, MASS SPEC"
1006,CHLORAMINE,587,"TITRTN, AMPRMTRC (CL/NH2CL)"
1007,CHLORATE,120,"ION CHROM, SUPPRESS"
1009,CHLORITE,120,"ION CHROM, SUPPRESS"
1010,BARIUM (IOC),170,"ICP, MASS SPEC"
1013,FREE CHLORINE,587,"TITRTN, AMPRMTRC (CL/NH2CL)"
1015,CADMIUM (IOC),170,"ICP, MASS SPEC"
1016,CALCIUM,169,INDUCT COUPLE PLASMA
1017,CHLORIDE,120,"ION CHROM, SUPPRESS"
1020,CHROMIUM (IOC),170,"ICP, MASS SPEC"
1022,COPPER,170,"ICP, MASS SPEC"
1024,CYANIDE (FREE) (IOC),186,"MICRODIST,FLOW INJ, SPEC (CN)"
1025,FLUORIDE (IOC),107,"ION SEL ELECTR, MANUAL"
1025,FLUORIDE (IOC),120,"ION CHROM, SUPPRESS"
1028,IRON,169,INDUCT COUPLE PLASMA
1030,LEAD,170,"ICP, MASS SPEC"
1031,MAGNESIUM,169,INDUCT COUPLE PLASMA
1032,MANGANESE,169,INDUCT COUPLE PLASMA
1035,MERCURY (IOC),170,"ICP, MASS SPEC"
1035,MERCURY (IOC),103,"AA, COLD VAPOR, MANUAL"
1036,NICKEL (IOC),170,"ICP, MASS SPEC"
1038,NITRATE-NITRITE,120,"ION CHROM, SUPPRESS"
1038,NITRATE-NITRITE,163,"COLORMTRC,CD REDCT,AUTO (NOX)"
1040,NITRATE,120,"ION CHROM, SUPPRESS"
1040,NITRATE,163,"COLORMTRC,CD REDCT,AUTO (NOX)"
1041,NITRITE,120,"ION CHROM, SUPPRESS"
1041,NITRITE,163,"COLORMTRC,CD REDCT,AUTO (NOX)"
1044,ORTHOPHOSPHATE,120,"ION CHROM, SUPPRESS"
1044,ORTHOPHOSPHATE,157,"COLRMTRC,ASCRB ACD,DISCR (OP)"
1045,SELENIUM (IOC),170,"ICP, MASS SPEC"
1050,SILVER,170,"ICP, MASS SPEC"
1052,SODIUM,169,INDUCT COUPLE PLASMA
1055,SULFATE,120,"ION CHROM, SUPPRESS"
1057,TDS (FILTERABLE),139,"GRAV, FILT, DRY AT 180 (TDS)"
1064,CONDUCTIVITY @ 25 C U-MHO,127,POTENTIOMTRC SENSR (CONDCTV)
1074,ANTIMONY (IOC),170,"ICP, MASS SPEC"
1075,BERYLLIUM (IOC),170,"ICP, MASS SPEC"
1085,THALLIUM (IOC),170,"ICP, MASS SPEC"
1095,ZINC,170,"ICP, MASS SPEC"
1905,COLOR,129,"VISUAL, PT-CO (COLOR)"
1925,PH,135,ELECTROMETRIC (PH)
1927,ALKALINITY - TOTAL,584,TITRATION (ALKALINITY)
2378,"1,2,4-TRICHLOROBENZENE (VOC)",221,"GC, MS, P&T (EPA 524.2)"
2380,"CIS-1,2-DICHLOROETHYLENE (VOC)",221,"GC, MS, P&T (EPA 524.2)"
2450,MONOCHLOROACETIC ACID (HAA),206,"GC,ECD,LLE,DERIV (EPA 552.2/3)"
2450,MONOCHLOROACETIC ACID (HAA),208,"GC, ECD, LLW (SM 6251B)"
2451,DICHLOROACETIC ACID (HAA),206,"GC,ECD,LLE,DERIV (EPA 552.2/3)"
2451,DICHLOROACETIC ACID (HAA),208,"GC, ECD, LLW (SM 6251B)"
2452,TRICHLOROACETIC ACID (HAA),206,"GC,ECD,LLE,DERIV (EPA 552.2/3)"
2452,TRICHLOROACETIC ACID (HAA),208,"GC, ECD, LLW (SM 6251B)"
2453,MONOBROMOACETIC ACID (HAA),206,"GC,ECD,LLE,DERIV (EPA 552.2/3)"
2453,MONOBROMOACETIC ACID (HAA),208,"GC, ECD, LLW (SM 6251B)"
2454,DIBROMOACETIC ACID (HAA),206,"GC,ECD,LLE,DERIV (EPA 552.2/3)"
2454,DIBROMOACETIC ACID (HAA),208,"GC, ECD, LLW (SM 6251B)"
2456,HALOACETIC ACIDS (HAA5),206,"GC,ECD,LLE,DERIV (EPA 552.2/3)"
2456,HALOACETIC ACIDS (HAA5),208,"GC, ECD, LLW (SM 6251B)"
2920,TOC,580,HIGH TEMP COMBUST (DOC/TOC)
2922,UV254,583,UV ABSORPTION AT 245 NM
2941,CHLOROFORM (THM),221,"GC, MS, P&T (EPA 524.2)"
2942,BROMOFORM (THM),221,"GC, MS, P&T (EPA 524.2)"
2943,BROMODICHLOROMETHANE (THM),221,"GC, MS, P&T (EPA 524.2)"
2944,CHLORODIBROMOMETHANE (THM),221,"GC, MS, P&T (EPA 524.2)"
2950,TRIHALOMETHANES (TTHM),221,"GC, MS, P&T (EPA 524.2)"
2955,"m,p-Xylenes",221,"GC, MS, P&T (EPA 524.2)"
2955,o-Xylene,221,"GC, MS, P&T (EPA 524.2)"
2955,XYLENES - TOTAL (VOC),221,"GC, MS, P&T (EPA 524.2)"
2964,DICHLOROMETHANE (VOC),221,"GC, MS, P&T (EPA 524.2)"
2968,O-DICHLOROBENZENE (VOC),221,"GC, MS, P&T (EPA 524.2)"
2969,P-DICHLOROBENZENE (VOC),221,"GC, MS, P&T (EPA 524.2)"
2976,VINYL CHLORIDE (VOC),221,"GC, MS, P&T (EPA 524.2)"
2977,"1,1-DICHLOROETHYLENE (VOC)",221,"GC, MS, P&T (EPA 524.2)"
2979,"TRANS-1,2-DICHLOROETHENE (VOC)",221,"GC, MS, P&T (EPA 524.2)"
2980,"1,2-DICHLOROETHANE (VOC)",221,"GC, MS, P&T (EPA 524.2)"
2981,"1,1,1-TRICHLOROETHANE (VOC)",221,"GC, MS, P&T (EPA 524.2)"
2982,CARBON TETRACHLORIDE (VOC),221,"GC, MS, P&T (EPA 524.2)"
2983,"1,2-DICHLOROPROPANE (VOC)",221,"GC, MS, P&T (EPA 524.2)"
2984,TRICHLOROETHYLENE (VOC),221,"GC, MS, P&T (EPA 524.2)"
2985,"1,1,2-TRICHLOROETHANE (VOC)",221,"GC, MS, P&T (EPA 524.2)"
2987,TETRACHLOROETHYLENE (VOC),221,"GC, MS, P&T (EPA 524.2)"
2989,CHLOROBENZENE (VOC),221,"GC, MS, P&T (EPA 524.2)"
2990,BENZENE (VOC),221,"GC, MS, P&T (EPA 524.2)"
2991,TOLUENE (VOC),221,"GC, MS, P&T (EPA 524.2)"
2992,ETHYLBENZENE (VOC),221,"GC, MS, P&T (EPA 524.2)"
2996,STYRENE (VOC),221,"GC, MS, P&T (EPA 524.2)"
3001,HETEROTROPHIC BACTERIA ENUM,316,"FLGN,MULTIWELL,SIMPLATE (HPC)"
